tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Estado;42;ICMS;2021;29054764210,07;29050783065,86;;;29050783065,86
Estado;42;ICMS;2022;34599944836,25;34592343274,24;;;34592343274,24
Estado;42;ICMS;2023;36269946425,5;36258395879,9;;;36258395879,9
Estado;42;ICMS;2024;42729136259,93;42724622758,0;;;42724622758,0
Estado;42;ICMS;2025;45170526262,28;45161068246,31;;;45161068246,31
Estado;42;LC194;2023;;;;;896250000,0
Estado;42;LC194;2025;;;;;298750000,0
Estado;43;ICMS;2019;36230211989,81;36528755010,99;;;36531283542,799995
Estado;43;ICMS;2020;36077349368,41;36370809093,33;;;36380727217,600006
Estado;43;ICMS;2021;47236775080,92;47560078646,39;;;47560078646,39
Estado;43;ICMS;2022;43020537284,55;43382235769,87;;;43382235769,87
Estado;43;ICMS;2023;44470419416,48;44865768615,35;;;44865768615,350006
Estado;43;ICMS;2024;50413517104,36;50610915119,55;;;50610915119,55
Estado;43;ICMS;2025;53501249510,32;53696398855,02;;;53696398855,020004
Estado;43;LC194;2023;;;;;2343930000,0
Estado;43;LC194;2024;;;;;674480000,0
Estado;50;ICMS;2019;9021941428,56;9105261629,84;;;9105261629,84
Estado;50;ICMS;2020;10063863625,15;10161119076,27;;;10161119076,27
Estado;50;ICMS;2021;12632319291,27;12729194727,8;;;12729194727,800001
Estado;50;ICMS;2022;14013779725,4;14085685559,63;;;14085685559,63
Estado;50;ICMS;2023;19137161138,55;15341904902,68;;;15341904902,68
Estado;50;ICMS;2024;23364281571,17;17030658703,33;;;17030658703,329996
Estado;50;ICMS;2025;25144810779,77;17621634610,85;;;17621634610,85
Estado;50;LC194;2023;;;;;235200000,0
Estado;51;ICMS;2019;14542506316,32;11314668508,83;;;11314668508,83
Estado;51;ICMS;2020;17176564913,46;12826040161,43;;;12826040161,43
Estado;51;ICMS;2021;27670965852,77;18663854526,08;;;18663854526,080006
Estado;51;ICMS;2022;30802346201,52;19699173746,21;;;19699173746,21
Estado;51;ICMS;2023;31085194819,13;20820000395,4;;;20820000395,4
